ARRAY_S0,ARRAY_S1,ARRAY_S2,ARRAY_S3,ARRAY_S4,ARRAY_S5,ARRAY_S6,ARRAY_S7,ARRAY_S8,ARRAY_S9,MOX_1,MOX_2,MOX_3,MOX_4,SHT_HUMID,SHT_TEMP,DATETIME,CLASS_NAME,SAMPLE_INDEX,
26443,30531,36477,29001,675426,3134227,504370,2047,9932,4552,1789,283951,185115,594,39372,27874,2024-03-04 13:40:55,Baseline,1966,
26441,30510,36463,29027,673866,3159524,503190,2052,9931,4550,1789,283583,185583,594,39343,27880,2024-03-04 13:41:10,Baseline,1966,
26442,30494,36455,29026,675802,3159234,501050,2051,9932,4552,1788,283995,185379,594,39366,27856,2024-03-04 13:41:24,Baseline,1966,
26442,30519,36465,29033,678372,3165311,501215,2049,9935,4552,1786,284796,185671,594,39406,27832,2024-03-04 13:41:54,Baseline,1966,
26458,30518,36440,29068,675868,3131090,501053,2051,9934,4553,1784,285029,185953,594,39400,27848,2024-03-04 13:42:09,Baseline,1966,
26465,30534,36485,29063,675631,3199862,501452,2047,9934,4554,1784,282709,186031,594,39410,27834,2024-03-04 13:42:24,Baseline,1966,
26459,30516,36403,29055,675852,3178557,498916,2050,9935,4553,1784,285160,186333,597,39415,27858,2024-03-04 13:42:39,Baseline,1966,
26474,30515,36503,29024,676230,3139375,502829,2050,9935,4554,1781,282389,186453,592,39455,27824,2024-03-04 13:42:53,Baseline,1966,
26458,30492,36455,29030,677515,3138274,503913,2049,9936,4550,1784,282715,186799,596,39442,27848,2024-03-04 13:43:08,Baseline,1966,
26471,30530,36393,29036,677183,3130102,501592,2047,9937,4552,1781,282288,186931,596,39461,27872,2024-03-04 13:43:23,Baseline,1966,
26469,30533,36413,29037,677887,3148712,500857,2047,9936,4551,1781,282469,187330,596,39434,27856,2024-03-04 13:43:38,Baseline,1966,
26478,30507,36432,29040,676980,3148082,500941,2047,9933,4551,1780,283881,187350,595,39465,27856,2024-03-04 13:43:53,Baseline,1966,
26453,30511,36450,29024,676775,3147166,499414,2050,9936,4553,1777,283169,187457,596,39503,27850,2024-03-04 13:44:08,Baseline,1966,
26459,30521,36424,29041,674426,3166593,500401,2049,9935,4552,1781,283282,187597,598,39499,27858,2024-03-04 13:44:22,Baseline,1966,
26465,30500,36408,29075,674432,3153226,498732,2048,9939,4553,1777,281192,187782,596,39452,27882,2024-03-04 13:44:37,Baseline,1966,
26476,30506,36427,29080,679262,3171611,500407,2048,9939,4553,1777,281976,188003,597,39452,27834,2024-03-04 13:44:52,Baseline,1966,
26467,30520,36446,29056,677269,3144202,498588,2048,9941,4554,1774,280612,188093,598,39478,27850,2024-03-04 13:45:07,Baseline,1966,
26474,30512,36470,29050,676174,3114247,499937,2049,9940,4551,1776,281399,188557,597,39486,27840,2024-03-04 13:45:21,Baseline,1966,
26466,30506,36447,29074,677646,3173959,498201,2049,9938,4553,1776,280799,188874,597,39488,27866,2024-03-04 13:45:36,Baseline,1966,
26459,30479,36464,29068,676861,3163429,503404,2050,9943,4553,1777,280957,188714,596,39516,27853,2024-03-04 13:45:51,Baseline,1966,
26471,30517,36449,29074,676833,3154504,499914,2048,9939,4551,1774,280230,188805,596,39476,27885,2024-03-04 13:46:06,Baseline,1966,
26467,30503,36459,29065,675885,3128140,500564,2049,9941,4550,1774,280620,188971,597,39524,27866,2024-03-04 13:46:21,Baseline,1966,
26473,30498,36523,29049,674260,3113304,499818,2048,9940,4553,1771,279909,189071,595,39490,27885,2024-03-04 13:46:36,Baseline,1966,
26470,30514,36472,29079,676217,3114909,501780,2048,9941,4553,1773,279550,189583,598,39518,27858,2024-03-04 13:46:50,Baseline,1966,
26473,30510,36409,29019,678907,3136078,500478,2047,9948,4555,1771,279226,189467,596,39497,27848,2024-03-04 13:47:05,Baseline,1966,
26473,30507,36479,29017,675940,3159963,499439,2048,9944,4555,1768,279028,189622,597,39560,27840,2024-03-04 13:47:20,Baseline,1966,
26472,30513,36430,29056,679893,3165995,501446,2048,9946,4553,1769,281301,189798,597,39505,27880,2024-03-04 13:47:34,Baseline,1966,
26475,30512,36429,29018,678117,3131254,502111,2047,9943,4551,1769,279277,190149,597,39513,27864,2024-03-04 13:48:04,Baseline,1966,
26465,30516,36438,29056,678822,3138403,501483,2049,9945,4557,1767,279003,190670,600,39543,27850,2024-03-04 13:48:19,Baseline,1966,
26463,30532,36422,29110,677093,3110611,503134,2047,9949,4554,1772,279231,190652,598,39585,27877,2024-03-04 13:48:34,Baseline,1966,
26465,30521,36451,29054,677181,3125596,505301,2048,9944,4554,1767,279114,190635,599,39524,27824,2024-03-04 13:48:48,Baseline,1966,
26461,30508,36445,29083,675500,3161552,503847,2049,9947,4555,1765,278702,191098,598,39593,27856,2024-03-04 13:49:03,Baseline,1966,
26475,30537,36467,29068,677916,3162846,502469,2046,9946,4554,1767,280654,191002,597,39593,27858,2024-03-04 13:49:18,Baseline,1966,
26476,30520,36385,29062,676435,3123923,503715,2048,9947,4556,1767,278203,191502,599,39558,27877,2024-03-04 13:49:33,Baseline,1966,
26475,30497,36480,29057,677897,3131630,503002,2045,9949,4553,1763,278319,191393,600,39583,27872,2024-03-04 13:49:48,Baseline,1966,
26484,30505,36427,29044,676955,3112407,502598,2045,9946,4555,1765,277833,191501,599,39557,27840,2024-03-04 13:50:03,Baseline,1966,
26473,30490,36500,29095,674307,3134574,503373,2046,9946,4555,1763,278005,191640,601,39600,27840,2024-03-04 13:50:17,Baseline,1966,
26478,30515,36435,29053,673836,3130174,499533,2047,9947,4550,1763,277488,192189,600,39612,27877,2024-03-04 13:50:32,Baseline,1966,
26478,30517,36451,29055,678572,3143539,502169,2046,9950,4553,1763,278408,192271,601,39579,27890,2024-03-04 13:50:47,Baseline,1966,
26459,30509,36448,29049,675813,3139035,501553,2045,9945,4554,1760,277274,192223,599,39579,27880,2024-03-04 13:51:02,Baseline,1966,
26470,30484,36467,29026,673453,3145995,504551,2046,9950,4556,1761,277009,192258,599,39602,27856,2024-03-04 13:51:17,Baseline,1966,
26480,30489,36434,29059,676327,3127403,503783,2046,9948,4556,1760,277095,192466,599,39619,27890,2024-03-04 13:51:32,Baseline,1966,
26477,30511,36434,29062,674877,3160988,502102,2047,9949,4554,1760,276607,193435,600,39589,27890,2024-03-04 13:51:46,Baseline,1966,
26483,30503,36498,29035,675876,3099914,506060,2045,9949,4554,1756,276136,192788,600,39616,27858,2024-03-04 13:52:01,Baseline,1966,
26474,30514,36455,29030,675801,3142289,504169,2046,9951,4551,1757,276307,193043,601,39631,27861,2024-03-04 13:52:16,Baseline,1966,
26469,30514,36480,29036,675726,3086307,503702,2046,9952,4554,1757,276015,193055,601,39637,27864,2024-03-04 13:52:31,Baseline,1966,
26468,30515,36479,29020,674367,3136656,502597,2046,9953,4556,1757,276380,193389,604,39627,27904,2024-03-04 13:52:45,Baseline,1966,
26462,30525,36455,29051,676441,3143300,502238,2046,9955,4556,1758,276252,193368,601,39642,27832,2024-03-04 13:53:00,Baseline,1966,
26468,30530,36481,29067,678023,3134046,500076,2049,9955,4556,1755,276071,193569,599,39602,27856,2024-03-04 13:53:15,Baseline,1966,
26473,30521,36459,29055,675506,3109241,502433,2046,9956,4556,1758,275971,193685,601,39629,27882,2024-03-04 13:53:30,Baseline,1966,
26472,30508,36449,29049,675237,3133595,502758,2045,9953,4554,1755,275677,193794,602,39639,27872,2024-03-04 13:53:45,Baseline,1966,
26471,30516,36460,29032,677176,3171053,500058,2046,9958,4553,1754,275487,194476,603,39646,27906,2024-03-04 13:54:14,Baseline,1966,
26464,30525,36459,29029,671923,3152807,500520,2046,9957,4556,1752,276315,194555,601,39623,27861,2024-03-04 13:54:29,Baseline,1966,
26452,30520,36427,29031,677950,3167605,501385,2044,9958,4555,1752,275326,194588,602,39652,27872,2024-03-04 13:54:44,Baseline,1966,
26452,30515,36388,29008,674663,3159949,505713,2046,9956,4553,1753,275005,194558,604,39667,27861,2024-03-04 13:54:59,Baseline,1966,
26463,30537,36448,29014,678704,3187396,504790,2046,9955,4558,1753,275129,194845,607,39682,27877,2024-03-04 13:55:14,Baseline,1966,
26460,30520,36442,29028,676211,3141501,504051,2047,9960,4557,1749,274488,194938,601,39652,27877,2024-03-04 13:55:28,Baseline,1966,
26476,30524,36443,29028,678855,3160448,499646,2046,9958,4557,1751,276459,195908,604,39671,27853,2024-03-04 13:55:43,Baseline,1966,
26458,30510,36494,29039,674709,3147069,504081,2046,9957,4555,1749,274329,195234,603,39682,27880,2024-03-04 13:55:58,Baseline,1966,
26467,30518,36494,28986,675177,3136086,498485,2046,9962,4555,1751,274356,195471,604,39658,27861,2024-03-04 13:56:13,Baseline,1966,
26474,30516,36484,29065,676657,3153169,499966,2045,9959,4557,1750,276048,195631,602,39690,27912,2024-03-04 13:56:28,Baseline,1966,
26478,30529,36471,29026,677394,3136776,502221,2047,9962,4556,1748,273918,195720,606,39690,27874,2024-03-04 13:56:42,Baseline,1966,
26476,30512,36461,28997,676331,3139746,503498,2045,9959,4557,1751,273851,196620,605,39722,27917,2024-03-04 13:56:57,Baseline,1966,
26468,30522,36479,29002,673152,3152455,500754,2045,9962,4555,1747,273831,195934,604,39711,27904,2024-03-04 13:57:12,Baseline,1966,
26472,30522,36486,29022,675661,3136131,502628,2043,9958,4557,1746,274634,196213,604,39686,27917,2024-03-04 13:57:27,Baseline,1966,
26472,30503,36379,29057,672205,3134519,508781,2044,9953,4550,1878,319870,198988,562,39406,27925,2024-03-04 14:00:24,Open Chamber (Ambient Air),1973,
26487,30490,36477,29000,675086,3101445,507394,2043,9948,4552,1885,339479,199871,554,39337,27917,2024-03-04 14:00:39,Open Chamber (Ambient Air),1974,
26480,30490,36427,29019,673595,3074029,510304,2044,9946,4550,1938,353986,200394,579,39276,27912,2024-03-04 14:00:54,Open Chamber (Ambient Air),1974,
26475,30515,36426,29019,674968,3132511,507482,2042,9942,4546,1998,364513,201264,607,39225,27882,2024-03-04 14:01:09,Open Chamber (Ambient Air),1974,
26468,30527,36409,28999,675770,3077126,509788,2043,9940,4547,2005,370744,201877,603,39150,27906,2024-03-04 14:01:24,Open Chamber (Ambient Air),1974,
26473,30484,36402,29004,674934,3137116,507033,2041,9935,4543,1980,374149,202475,593,39083,27917,2024-03-04 14:01:39,Open Chamber (Ambient Air),1974,
26473,30492,36459,28996,674406,3113289,508153,2042,9935,4541,1972,375222,202880,594,39043,27858,2024-03-04 14:01:53,Open Chamber (Ambient Air),1974,
26453,30478,36419,28954,673984,3130624,509953,2040,9932,4542,2009,378743,203490,602,38973,27898,2024-03-04 14:02:08,Open Chamber (Ambient Air),1974,
26465,30491,36398,28962,673730,3128233,511023,2039,9924,4539,2018,380617,204448,608,38908,27880,2024-03-04 14:02:23,Open Chamber (Ambient Air),1974,
26449,30501,36415,28962,674340,3111024,512163,2039,9927,4538,2001,379430,204585,602,38948,27840,2024-03-04 14:02:38,Open Chamber (Ambient Air),1974,
26452,30498,36410,29010,676361,3058146,510569,2038,9925,4537,1926,377601,205084,567,38939,27858,2024-03-04 14:02:53,Open Chamber (Ambient Air),1974,
26442,30500,36423,28957,675591,3122098,509812,2037,9920,4539,1857,369906,204761,539,38940,27866,2024-03-04 14:03:07,Open Chamber (Ambient Air),1974,
26446,30482,36390,29009,673271,3115221,506006,2037,9917,4534,1928,373027,205076,573,38851,27824,2024-03-04 14:03:22,Open Chamber (Ambient Air),1974,
